x	ymin	ymax	PANEL	group
6	0.000437473354696516	0.00717633971127054	7	-1
7	0.000257198049400634	0.00851011825438417	7	-1
8	0.000650607033886169	0.00960183698329223	7	-1
9	0.000767529014687956	0.0106569078766771	7	-1
10	0.00111215217324504	0.0119705079493313	7	-1
11	0.00152025403283413	0.0126156789204254	7	-1
12	0.00159818443029683	0.0140185779516794	7	-1
13	0.00233769296287811	0.0148900462150468	7	-1
14	0.00314844641952282	0.0160472160589487	7	-1
15	0.0040859799828891	0.0169775481977705	7	-1
16	0.00429179198304035	0.0177759501675471	7	-1
17	0.00462364217870854	0.0188810936738707	7	-1
18	0.00518212623568517	0.0197134371323804	7	-1
19	0.00532252766237034	0.0206111231093943	7	-1
20	0.00600569017266818	0.0212822624164409	7	-1
21	0.00664067053310846	0.0222253667235986	7	-1
22	0.00721492035099449	0.0230044855984339	7	-1
23	0.00749031861059333	0.0236727955421943	7	-1
24	0.00786045440634147	0.0241181365596118	7	-1
25	0.00842275077071869	0.0248050783514454	7	-1
26	0.00892861283593895	0.0255347352966362	7	-1
27	0.00969146891974215	0.0262967485243601	7	-1
28	0.0103053313279787	0.0270487496317092	7	-1
29	0.0106524452073109	0.0277047276535026	7	-1
30	0.0113429791091878	0.0282300109856882	7	-1
1	0.00981336358630664	0.0173805288501442	8	-1
2	0.00961290186311789	0.0164038327098275	8	-1
3	0.00925105930037408	0.0127996821102227	8	-1
4	0.00823539647961541	0.0119902777978553	8	-1
5	0.00752215053703258	0.0109993048235904	8	-1
6	0.00748868665347082	0.0106145562403113	8	-1
7	0.00749135581119859	0.0102553582668753	8	-1
8	0.00627622797830712	0.00985591599130467	8	-1
9	0.00660499383364389	0.00983555927259635	8	-1
10	0.00750004444228186	0.0100827153194445	8	-1
11	0.00758458904475033	0.0100829173522991	8	-1
12	0.00746979918275805	0.0108586405800281	8	-1
13	0.00734621786912691	0.0115793030119171	8	-1
14	0.00741403958138582	0.0117830771872781	8	-1
15	0.00740292388513039	0.0126791810236728	8	-1
16	0.00769762371226447	0.013850391329139	8	-1
17	0.00858106865420742	0.0148347287077724	8	-1
18	0.00878126519378823	0.0151941688795848	8	-1
19	0.00890986644893732	0.0159096338986229	8	-1
20	0.00902596885497457	0.0170389740613308	8	-1
21	0.00919348509038711	0.0178817054816678	8	-1
22	0.00971185086741118	0.0179994569305659	8	-1
23	0.00940782646079299	0.0193810106051592	8	-1
24	0.0096685648262963	0.0194877329911344	8	-1
25	0.0103179626210334	0.0200159498295432	8	-1
26	0.0106710989308733	0.0212965438478432	8	-1
27	0.0112670770631686	0.0222671316286618	8	-1
28	0.0121759566741565	0.0236118151128784	8	-1
29	0.0121417071241312	0.0245061783317479	8	-1
30	0.0127831113618733	0.0245131374518815	8	-1
