colour	x	y	group	showSelectedlegendcolour	clickSelects	PANEL
#4DAF4A	27	0.0129242665704741	2	2	2	2
#4DAF4A	28	0.0140979193170212	2	2	2	2
#4DAF4A	29	0.015209577798798	2	2	2	2
#4DAF4A	30	0.0154992876762771	2	2	2	2
#984EA3	1	0.0107109350093247	3	3	3	2
#984EA3	2	0.00617086129329911	3	3	3	2
#984EA3	3	0.00574788521233268	3	3	3	2
#984EA3	4	0.00573097137017852	3	3	3	2
#984EA3	5	0.00545306734815847	3	3	3	2
#984EA3	6	0.00468535955780214	3	3	3	2
#984EA3	7	0.00497129249913881	3	3	3	2
#984EA3	8	0.00514709251696377	3	3	3	2
#984EA3	9	0.00545282837304827	3	3	3	2
#984EA3	10	0.00529775345355321	3	3	3	2
#984EA3	11	0.00549213624791927	3	3	3	2
#984EA3	12	0.00591578177174194	3	3	3	2
#984EA3	13	0.00595135408025467	3	3	3	2
#984EA3	14	0.00571275446330254	3	3	3	2
#984EA3	15	0.00597848678844305	3	3	3	2
#984EA3	16	0.0059669634537584	3	3	3	2
#984EA3	17	0.00581005613460622	3	3	3	2
#984EA3	18	0.00582553858175474	3	3	3	2
#984EA3	19	0.00579129555606615	3	3	3	2
#984EA3	20	0.00598053412426805	3	3	3	2
#984EA3	21	0.00592345212406572	3	3	3	2
#984EA3	22	0.00627458401225988	3	3	3	2
#984EA3	23	0.00620282162890129	3	3	3	2
#984EA3	24	0.00656294257761682	3	3	3	2
#984EA3	25	0.00703589625455881	3	3	3	2
#984EA3	26	0.00760658498933485	3	3	3	2
#984EA3	27	0.00820032747439731	3	3	3	2
#984EA3	28	0.00922860302464073	3	3	3	2
#984EA3	29	0.0100544479615542	3	3	3	2
#984EA3	30	0.0104490323817392	3	3	3	2
#FF7F00	1	0.00329045003603817	4	4	4	2
#FF7F00	2	0.00282498937643732	4	4	4	2
#FF7F00	3	0.00433734679197248	4	4	4	2
#FF7F00	4	0.00357978475355172	4	4	4	2
#FF7F00	5	0.00399603727439816	4	4	4	2
#FF7F00	6	0.00463039607483864	4	4	4	2
#FF7F00	7	0.00539988136450967	4	4	4	2
#FF7F00	8	0.00680468577606876	4	4	4	2
#FF7F00	9	0.00672517042303687	4	4	4	2
#FF7F00	10	0.00703649082551534	4	4	4	2
#FF7F00	11	0.00738355745635695	4	4	4	2
#FF7F00	12	0.00735947631675854	4	4	4	2
#FF7F00	13	0.00708973712671819	4	4	4	2
#FF7F00	14	0.00747623874651295	4	4	4	2
#FF7F00	15	0.00741086135124903	4	4	4	2
#FF7F00	16	0.00860379179277355	4	4	4	2
#FF7F00	17	0.00925946247947334	4	4	4	2
#FF7F00	18	0.0097502909004789	4	4	4	2
#FF7F00	19	0.0109098588469305	4	4	4	2
#FF7F00	20	0.0116111320742812	4	4	4	2
#FF7F00	21	0.0118337186553929	4	4	4	2
#FF7F00	22	0.0120677693346497	4	4	4	2
#FF7F00	23	0.0121885493121234	4	4	4	2
#FF7F00	24	0.0126189111340112	4	4	4	2
#FF7F00	25	0.0140763248432976	4	4	4	2
#FF7F00	26	0.0155303485210704	4	4	4	2
#FF7F00	27	0.0165719630688206	4	4	4	2
#FF7F00	28	0.017850534516515	4	4	4	2
#FF7F00	29	0.0180309807932191	4	4	4	2
#FF7F00	30	0.0191878684380574	4	4	4	2
#377EB8	1	0.00985554289429462	1	1	1	3
#377EB8	2	0.00511377287769677	1	1	1	3
#377EB8	3	0.00300177171060536	1	1	1	3
#377EB8	4	0.00329282702567162	1	1	1	3
#377EB8	5	0.00218997874692304	1	1	1	3
#377EB8	6	0.00210873180842761	1	1	1	3
#377EB8	7	0.00198417422914289	1	1	1	3
#377EB8	8	0.00219377424045467	1	1	1	3
#377EB8	9	0.00204119946954423	1	1	1	3
#377EB8	10	0.00250105412477929	1	1	1	3
#377EB8	11	0.00311000942295839	1	1	1	3
#377EB8	12	0.00307683220079741	1	1	1	3
#377EB8	13	0.00364368887485204	1	1	1	3
#377EB8	14	0.00435578057206842	1	1	1	3
#377EB8	15	0.00521554384525665	1	1	1	3
#377EB8	16	0.00577932238395982	1	1	1	3
#377EB8	17	0.0064726271688607	1	1	1	3
#377EB8	18	0.00711288223720361	1	1	1	3
#377EB8	19	0.00744051489018874	1	1	1	3
#377EB8	20	0.0079768316987072	1	1	1	3
