linetype	x	showSelectedlegendlinetype	PANEL	group
solid	-1.37185929648241	prediction	2	226
solid	-1.34673366834171	prediction	2	227
solid	-1.32160804020101	prediction	2	228
solid	-1.2964824120603	prediction	2	229
solid	-1.2713567839196	prediction	2	230
solid	-1.24623115577889	prediction	2	231
solid	-1.22110552763819	prediction	2	232
solid	-1.19597989949749	prediction	2	233
solid	-1.17085427135678	prediction	2	234
solid	-1.14572864321608	prediction	2	235
solid	-1.12060301507538	prediction	2	236
solid	-1.09547738693467	prediction	2	237
solid	-1.07035175879397	prediction	2	238
solid	-1.04522613065327	prediction	2	239
solid	-1.02010050251256	prediction	2	240
solid	-0.994974874371859	prediction	2	241
solid	-0.969849246231156	prediction	2	242
solid	-0.944723618090452	prediction	2	243
solid	-0.919597989949749	prediction	2	244
solid	-0.894472361809045	prediction	2	245
solid	-0.869346733668342	prediction	2	246
solid	-0.844221105527638	prediction	2	247
solid	-0.819095477386935	prediction	2	248
solid	-0.793969849246231	prediction	2	249
solid	-0.768844221105528	prediction	2	250
solid	-0.743718592964824	prediction	2	251
solid	-0.71859296482412	prediction	2	252
solid	-0.693467336683417	prediction	2	253
solid	-0.668341708542713	prediction	2	254
solid	-0.64321608040201	prediction	2	255
solid	-0.618090452261306	prediction	2	256
solid	-0.592964824120603	prediction	2	257
solid	-0.567839195979899	prediction	2	258
solid	-0.542713567839196	prediction	2	259
solid	-0.517587939698492	prediction	2	260
solid	-0.492462311557789	prediction	2	261
solid	-0.467336683417085	prediction	2	262
solid	-0.442211055276382	prediction	2	263
solid	-0.417085427135678	prediction	2	264
solid	-0.391959798994975	prediction	2	265
solid	-0.366834170854271	prediction	2	266
solid	-0.341708542713568	prediction	2	267
solid	-0.316582914572864	prediction	2	268
solid	-0.291457286432161	prediction	2	269
solid	-0.266331658291457	prediction	2	270
solid	-0.241206030150754	prediction	2	271
solid	-0.21608040201005	prediction	2	272
solid	-0.190954773869347	prediction	2	273
solid	-0.165829145728643	prediction	2	274
solid	-0.14070351758794	prediction	2	275
solid	-0.115577889447236	prediction	2	276
solid	-0.0904522613065326	prediction	2	277
solid	-0.0653266331658291	prediction	2	278
solid	-0.0402010050251256	prediction	2	279
solid	-0.0150753768844221	prediction	2	280
solid	0.0100502512562817	prediction	2	281
solid	0.0351758793969852	prediction	2	282
solid	0.0603015075376887	prediction	2	283
solid	0.0854271356783922	prediction	2	284
solid	0.110552763819096	prediction	2	285
solid	0.135678391959799	prediction	2	286
solid	0.160804020100503	prediction	2	287
solid	0.185929648241206	prediction	2	288
solid	0.21105527638191	prediction	2	289
solid	0.236180904522613	prediction	2	290
solid	0.261306532663317	prediction	2	291
solid	0.28643216080402	prediction	2	292
solid	0.311557788944724	prediction	2	293
solid	0.336683417085427	prediction	2	294
solid	0.361809045226131	prediction	2	295
solid	0.386934673366834	prediction	2	296
solid	0.412060301507538	prediction	2	297
solid	0.437185929648241	prediction	2	298
solid	0.462311557788945	prediction	2	299
solid	0.487437185929648	prediction	2	300
solid	0.512562814070352	prediction	2	301
solid	0.537688442211055	prediction	2	302
solid	0.562814070351759	prediction	2	303
solid	0.587939698492463	prediction	2	304
solid	0.613065326633166	prediction	2	305
solid	0.63819095477387	prediction	2	306
solid	0.663316582914573	prediction	2	307
solid	0.688442211055277	prediction	2	308
solid	0.71356783919598	prediction	2	309
solid	0.738693467336684	prediction	2	310
solid	0.763819095477387	prediction	2	311
solid	0.788944723618091	prediction	2	312
solid	0.814070351758794	prediction	2	313
solid	0.839195979899498	prediction	2	314
solid	0.864321608040201	prediction	2	315
solid	0.889447236180905	prediction	2	316
solid	0.914572864321608	prediction	2	317
solid	0.939698492462312	prediction	2	318
solid	0.964824120603015	prediction	2	319
solid	0.989949748743719	prediction	2	320
solid	1.01507537688442	prediction	2	321
solid	1.04020100502513	prediction	2	322
solid	1.06532663316583	prediction	2	323
solid	1.09045226130653	prediction	2	324
solid	1.11557788944724	prediction	2	325
solid	1.14070351758794	prediction	2	326
solid	1.16582914572864	prediction	2	327
solid	1.19095477386935	prediction	2	328
solid	1.21608040201005	prediction	2	329
solid	1.24120603015075	prediction	2	330
solid	1.26633165829146	prediction	2	331
solid	1.29145728643216	prediction	2	332
solid	1.31658291457286	prediction	2	333
solid	1.34170854271357	prediction	2	334
solid	1.36683417085427	prediction	2	335
solid	1.39195979899498	prediction	2	336
solid	1.41708542713568	prediction	2	337
solid	1.44221105527638	prediction	2	338
solid	1.46733668341709	prediction	2	339
solid	1.49246231155779	prediction	2	340
solid	1.51758793969849	prediction	2	341
solid	1.5427135678392	prediction	2	342
solid	1.5678391959799	prediction	2	343
solid	1.5929648241206	prediction	2	344
solid	1.61809045226131	prediction	2	345
solid	1.64321608040201	prediction	2	346
solid	1.66834170854271	prediction	2	347
solid	1.69346733668342	prediction	2	348
solid	1.71859296482412	prediction	2	349
solid	1.74371859296482	prediction	2	350
